"","prof","ein","fisyr","Accrual","age","FS_Totrev_adj","UNAgrand","HHI","GovtMoneyRat","FixedCostRat","EqRat_w","SurplusRat_ndrop_w892","ProfFundFeeYes","Subsector2","FY1998","FY1999","FY2000","FY2001","FY2002","FY2003","JustNowProfessionalized","waffle","D1","D2","D3","D4","D5","D6","AGE","Age2","Age3","Age4","Age5","EqRat_w_K"
"28252",0,593346238,2000,0,2,37055.5555555556,0,0.993218859019698,0,0,15527,0.1082295783968,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,15.527
"28253",0,593346238,2001,0,3,42501.5576323988,0,1,0,0,20572,0.123282862483897,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,20.572
"28254",0,593346238,2002,0,4,25632.9243353783,14.5092024539877,1,0,0,14190,-0.254528424396703,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,14.19
"28255",0,593346238,2003,0,5,30452,9.584,1,0,0,9584,-0.151216628903556,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,9.584
"28256",0,593346245,1998,0,0,51000,0.753950338600451,1,0,0,668,-0.0407223015987426,0,"Public",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.668
"28257",0,593346245,1999,0,1,64304.9723756906,7.60441988950276,0.886950840838051,0,0,5.34406565656566,0.0356703676939521,0,"Public",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.00534406565656566
"28258",0,593346245,2000,0,2,43517.094017094,6.83226495726496,0.773624166508661,0,0,6395,-0.0119329478238445,0,"Public",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,6.395
"28259",0,593346245,2001,0,3,75925.2336448598,4.84631360332295,0.865533782929204,0,0,4667,-0.0236201960412387,0,"Public",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,4.667
"28260",0,593346245,2002,0,4,39836.4008179959,2.28629856850716,0.898007855158136,0,0,2236,-0.0623706622559628,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,2.236
"28261",0,593346245,2003,0,5,34277,1.342,1,0,0,1342,-0.16882548573429,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,1.342
"28267",0,593356328,1999,0,1,31714.9171270718,0,1,0,0,394,0.012295096959698,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.394
"28268",0,593360607,1998,0,0,0,0,1,0,0,0.115074702031224,-6.76835413597953,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.000115074702031224
"28269",0,593360607,1999,0,1,0,0,1,0,0,0.0466472303206997,-6.76835413597953,1,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,4.66472303206997e-05
"28270",0,593360607,2000,0,2,0,0,1,0,0,0.00602233145610209,-6.76835413597953,0,"Other",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,6.02233145610209e-06
"28271",0,593360613,1998,0,0,42853.2731376975,0,1,0,0.358255695607923,0,-0.00922107643611148,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"28272",0,593360613,1999,0,1,46786.7403314917,0,0.993784493236304,0,0.348323443197255,0,0.00901933865897953,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0
"28273",0,593360613,2001,1,3,25971.9626168224,0,0.972326246260929,0,0.43102130651423,1.52913883444662,-0.30789414649302,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,0.00152913883444662
"28274",0,593360613,2002,0,4,28097.1370143149,0,0.976980711237005,0,0,0,0.379844050940117,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0
"28275",0,593360613,2003,0,5,31356,0,1,0,0.445522689807471,1.13046023267725,-0.0253212998692477,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00113046023267725
"28276",0,593362027,1999,1,1,0,0,0,0,0,103.516869095816,-6.76835413597953,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.103516869095816
"28277",0,593362027,2000,1,2,0,0,0,0,0,47.3273255813953,-6.76835413597953,0,"Public",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.0473273255813954
"28278",0,593362027,2001,1,3,0,0,0,0,0,64.2327433628319,-6.76835413597953,0,"Public",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.0642327433628319
"28279",0,593362027,2002,1,4,0,0,0,0,0,102.420707732634,-6.76835413597953,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.102420707732634
"28280",0,593362027,2003,1,5,0,0,0,0,0,75.3913043478261,-6.76835413597953,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.0753913043478261
"28281",0,593367376,2002,0,4,64998.9775051125,0,0.997548984789033,0,0,32362,0.247600809300264,0,"Edu(Exclu Higher)",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,32.362
"28282",0,593367376,2003,0,5,67552,0,0.994832228637283,0,0,23060,-0.137684484774917,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,23.06
"28286",0,593369425,1998,0,0,79103.8374717833,0,1,0,0,0,-0.240531645249584,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"28287",0,593369794,1998,1,0,0,0,0,0,0,16180,-6.76835413597953,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,16.18
"28288",1,593369794,1999,1,1,180455.248618785,0,0.999461299287371,0,0.00231378425999661,3.60844629822732,0.0234758239099353,0,"Human Svcs",0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,4,8,16,32,0.00360844629822732
"28294",0,593373505,1998,1,0,80686.230248307,2.9627539503386,0.739667319205372,0,0.00901810836159007,5.94161958568738,0.030548608632676,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.00594161958568738
"28295",0,593373505,1999,1,1,85083.9779005525,6.97348066298343,0.816768759958542,0,0.0179499420309623,12.7504655493482,0.0478806985359648,0,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.0127504655493482
"28296",1,593373505,2000,1,2,112324.786324786,11.9444444444444,0.764293045284581,0,0.130877922181232,1.39633411330923,0.0434665130435225,0,"Other",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,0.00139633411330923
"28302",0,593380599,1998,1,0,32961.625282167,2.6647855530474,1,0,0,2361,-0.169906980633309,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,2.361
"28303",0,593380599,1999,1,1,28917.1270718232,0.270718232044199,1,0,0,245,-0.0808185655024157,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.245
"28304",1,593380599,2001,1,3,213349.94807892,24.6085150571132,0.831826032892622,0.907328089712639,0,23698,0.0855116455702696,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,23.698
"28307",0,593383574,1998,0,0,38627.539503386,0,0.52657433933324,0,0,208998,-0.0942330092786868,0,"Public",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,208.998
"28308",0,593383574,1999,1,1,49953.591160221,0,0.503323916287009,0,0,286.946700507614,0.119531870988691,0,"Public",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.286946700507614
"28309",0,593383574,2000,1,2,64368.5897435897,0,0.563986120008533,0,0,251342,0.202057243679064,0,"Public",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,251.342
"28310",0,593383574,2001,1,3,92504.6728971963,0,0.500034130740842,0,0,507.976047904192,0.358070296786154,0,"Public",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.507976047904192
"28311",0,593383574,2002,1,4,58665.6441717791,0,0.568632299865674,0,0,385.16169544741,0.342582012283956,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.38516169544741
"28312",0,593383574,2003,1,5,57111,0,0.518993230577004,0,0,242992,-0.207994817201289,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,242.992
"28313",0,593384413,1999,1,1,5394.47513812155,0,0.501764291939506,0,0,0.188467235690121,-6.76835413597953,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.000188467235690121
"28314",0,593384413,2001,1,3,30313.6033229491,0,0.667421310894969,0,0,0.0657517462326067,-2.62679869117773,0,"Public",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,6.57517462326067e-05
"28315",0,593384413,2002,1,4,79444.7852760736,0,0.405376847565372,0,0.131886001875438,0.0242615245462721,-0.0842881908715822,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,2.42615245462721e-05
"28316",0,593384413,2003,1,5,76712,0,0.834195113882848,0,0.122801567577901,0.0481465574693068,-0.0910275963656747,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,4.81465574693068e-05
"28317",0,593385767,1999,0,1,71020.9944751381,0,1,0,0.093696242825678,10.2708333333333,0.0322661698216435,1,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.0102708333333333
"28318",0,593385767,2000,0,2,53418.8034188034,0,1,0,0,1854,-0.314075400508502,0,"Public",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,1.854
"28319",1,593385767,2001,0,3,168418.483904465,0,0.658197470665294,0.793836744005376,0.00588660746574517,47.3913669064748,0.379844050940117,0,"Public",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0.0473913669064748
"28320",0,593386955,2000,1,2,99964.7435897436,51.0053418803419,0.836410889452665,0.0898714290294655,0,47741,0.347126776420504,0,"Health",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,47.741
"28321",0,593386955,2001,1,3,82678.0893042575,53.6188992731049,0.893350488614951,0.0565191725593137,0.00629910861670518,4.69077912794853,0.048919427405411,0,"Health",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.00469077912794853
"28322",1,593386955,2002,1,4,104792.433537832,96.5419222903886,0.996104682416366,0,0.00798941444459333,94418,0.379844050940117,0,"Health",0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,25,125,625,3125,94.418
"28323",0,593388236,1998,0,0,47540.6320541761,0,0.837832984034892,0,0,0,-0.0147218954061079,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"28324",0,593388236,1999,0,1,36033.1491712707,0,0.958342200544831,0,0,9240,-0.280951877907099,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,9.24
"28325",0,593388236,2000,0,2,34583.3333333333,0,1,0,0,4460,-0.199285680216352,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,4.46
"28326",0,593388236,2001,0,3,43523.3644859813,0,1,0,0,9292,0.0878218793102432,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,9.292
"28327",0,593388236,2002,0,4,40831.2883435583,0,1,0,0,5160,-0.108704972993174,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,5.16
"28328",0,593388236,2003,0,5,40580,0,1,0,0,10909,0.115448116113452,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,10.909
"28335",0,593389016,2001,0,3,44471.4434060228,0,1,0,0.459086507424145,7075,-0.157401705089385,0,"Other",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,7.075
"28336",0,593389016,2002,0,4,53785.2760736196,0,1,0,0.547974812797822,1.09810431616151,-0.117047023459394,0,"Other",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.00109810431616151
"28337",0,593389016,2003,0,5,0,0,0,0,0,0.651397673944093,-6.76835413597953,0,"Other",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.000651397673944093
"28344",0,593397263,1998,0,0,42806.9977426637,81.72460496614,0.959764823861522,0,0,72408,0.262758804959496,0,"Arts",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,72.408
"28345",0,593397263,1999,0,1,81314.9171270718,108.695027624309,0.983184974960983,0,0,98369,0.352786869518727,0,"Arts",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,98.369
"28346",0,593397263,2000,0,2,81870.7264957265,113.313034188034,0.982922952424072,0,0,106061,0.100388120169638,0,"Arts",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,106.061
"28347",0,593397263,2001,0,3,93862.9283489097,131.671858774663,0.985394234111404,0,0,126800,0.229447306585283,0,"Arts",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,126.8
"28348",0,593397263,2002,0,4,93374.2331288344,156.990797546012,0.992733558703622,0,0,153537,0.292791191964676,0,"Arts",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,153.537
"28349",0,593397263,2003,0,5,86318,164.678,0.995422836049293,0,0,164678,0.129079345219477,0,"Arts",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,164.678
"28350",0,593397937,1998,0,0,52654.6275395034,0,0.935278179207617,0,0,2.36197276054479,0.0447107602303532,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.00236197276054479
"28351",0,593397937,2000,0,2,38597.2222222222,0,0.894425000474405,0,0,2.25529489410212,0.230595404066261,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.00225529489410212
"28352",0,593397937,2001,0,3,38512.9802699896,0,0.953055080247543,0,0,2.10487790244195,-0.123137360297725,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.00210487790244195
"28353",0,593398298,1998,0,0,76321.6704288939,0,0.775899221350615,0,0,30293,0.336516582811665,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,30.293
"28354",0,593398298,1999,0,1,92112.7071823204,0,0.755099592684767,0,0,41270,0.118360858465765,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,41.27
"28355",1,593398298,2000,0,2,120204.05982906,0,0.537384697746136,0,0.113012541700097,59903,0.158098212797618,0,"Edu(Exclu Higher)",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,59.903
"28356",0,593399111,1998,0,0,33483.0699774266,9.71444695259594,0.704794822388283,0,0.103158562200293,60.351724137931,0.149455726495865,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.060351724137931
"28357",0,593399599,1998,1,0,71270.8803611738,-23.6252821670429,0.509830086718719,0,0,0.651685580218976,0.0694394653126679,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.000651685580218976
"28358",0,593399599,1999,1,1,67544.7513812155,-27.2618784530387,0.500849990492402,0,0,0.68610213480573,-0.0611673806360509,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.00068610213480573
"28359",0,593399599,2000,1,2,68971.1538461538,-55.2457264957265,0.480989579445273,0,0,0.727278480678864,-0.418803104238029,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.000727278480678864
"28360",1,593399599,2001,1,3,107136.033229491,0,0.501854892128098,0,0,0.999983803569693,9.33384068847572e-06,0,"Edu(Exclu Higher)",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0.000999983803569693
"28377",0,593401217,1999,0,1,0,0,0,0,0,1.11630503034954,-6.76835413597953,0,"Health",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.00111630503034954
"28378",0,593401217,2000,0,2,0,0,0,0,0,0.74992500749925,-6.76835413597953,0,"Health",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.00074992500749925
"28379",0,593401217,2001,0,3,2596.05399792316,0,1,0,0,5000,-6.76835413597953,0,"Health",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,5
"28380",0,593401217,2002,1,4,0,0,0,0,0,0,-6.76835413597953,0,"Health",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0
"28387",0,593401602,1998,1,0,0,0,0,0,0,19.71964017991,-6.76835413597953,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.01971964017991
"28388",0,593401602,1999,1,1,0,0,0,0,0,27.5705996131528,-6.76835413597953,0,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.0275705996131528
"28389",0,593401602,2000,1,2,0,0,0,0,0,15.8243243243243,-6.76835413597953,0,"Other",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.0158243243243243
"28390",0,593401602,2001,1,3,0,0,0,0,0,3191,-6.76835413597953,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,3.191
"28391",0,593401602,2003,1,5,0,0,0,0,0,21.1146025878004,-6.76835413597953,0,"Other",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,0.0211146025878004
"28392",0,593406334,2001,0,3,11194.1848390447,0,1,0,0,68.2298850574713,-1.40590752421653,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,0.0682298850574713
"28393",0,593406334,2002,0,4,26503.0674846626,0,1,0,0,69.4585365853658,-0.129741323803446,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.0694585365853659
"28394",0,593406334,2003,0,5,23841,0,1,0,0,38.4959935897436,-0.407558090764198,0,"Human Svcs",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.0384959935897436
"28401",0,593407795,2000,0,2,12439.1025641026,0,1,0,0,2.18278646280708,-2.29124103739492,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.00218278646280708
"28402",0,593407795,2001,0,3,28469.3665628245,0,0.566681214822916,0,0,460.038461538462,-0.438671380196268,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.460038461538462
"28403",0,593407795,2002,0,4,24771.9836400818,0,0.533532149855937,0,0,6053,-0.876590774516966,0,"Other",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,6.053
"28404",0,593410259,2000,0,2,32528.8461538462,0,1,0,0.585863543931001,28535,0.0632534172431262,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,28.535
"28405",0,593410259,2001,0,3,38741.4330218069,0,1,0,0.585173340591297,36450,0.212173224970096,1,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,36.45
"28431",0,593413104,1998,0,0,40121.8961625282,0,0.972975795874965,0,0,17812,0.0834311938776365,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,17.812
"28432",0,593413380,1999,1,1,6372.37569060773,0,1,0,0,7.59567542431993,-6.76835413597953,0,"Edu(Exclu Higher)",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.00759567542431993
"28433",0,593413380,2000,1,2,39270.2991452991,0,0.638521488939896,0,0,0,-0.97230878251706,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0
"28434",1,593413380,2001,1,3,121798.546209761,0,0.994981756868683,0.0025154490495795,0.0245946278305781,21.2402981238756,0.0293876368354682,0,"Edu(Exclu Higher)",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0.0212402981238756
"28435",0,593413399,1998,0,0,42483.0699774266,0,1,0,0.514102270121532,92707,0.379844050940117,0,"Public",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,92.707
"28436",0,593413399,2000,0,2,41298.0769230769,0,1,0,0.424852587901288,154.449944994499,0.379844050940117,0,"Public",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.154449944994499
"28437",0,593413399,2002,0,4,90186.0940695297,0,0.999954650582763,0,0.145508930439813,145698,0.0789540008501754,0,"Public",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,145.698
"28438",1,593413399,2003,0,5,711364,0,1,0,0.280324209086704,707899,0.379844050940117,0,"Public",0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,36,216,1296,7776,707.899
"28439",0,593413937,2002,1,4,0,0,0,0,0,23075,-6.76835413597953,0,"Other",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,23.075
"28440",0,593413937,2003,1,5,0,0,0,0,0,20974,-6.76835413597953,0,"Other",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,20.974
"28441",0,593414078,1999,0,1,53.0386740331492,0,1,0,0.748699771424785,185744,-6.76835413597953,1,"Other",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,185.744
"28444",0,593414493,1999,0,1,25503.8674033149,0,1,0,0,0,-2.09016955056353,0,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0
"28445",0,593414493,2000,0,2,18674.1452991453,0,1,0,0,103.986547085202,-2.88777167147523,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.103986547085202
"28446",1,593414493,2001,0,3,138616.822429907,0,0.722794336459854,0.164808821766751,0.00286481354156435,78.7369614512472,0.0847782673987812,1,"Human Svcs",0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,16,64,256,1024,0.0787369614512472
"28447",0,593415005,1999,0,1,42858.5635359116,0,0.546277341681779,0.65356949493387,0.433300939423388,29829,0.379844050940117,0,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,29.829
"28448",1,593415005,2000,1,2,246770.299145299,0,0.477391261108311,0.359343138061365,0.223869262196587,25.7053261897258,0.379844050940117,0,"Human Svcs",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,0.0257053261897258
"28455",0,593417365,1998,0,0,52272.0090293454,0,1,0,0,0,-0.179279147510965,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"28456",0,593417365,1999,0,1,87512.7071823204,0,0.928767599744132,0,0,17283,-0.0470719630282385,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,17.283
"28457",1,593417365,2000,0,2,160860.042735043,0,0.437764384025431,0,0,50243,0.210704604526219,0,"Human Svcs",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,50.243
"28458",0,593417889,2000,0,2,31408.1196581197,0,0.862528080721205,0,0,2406,-0.549375800539176,0,"Public",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,2.406
"28465",0,593418943,2000,0,2,26073.7179487179,0,0.497235034522873,0,0,1.37418971156705,-1.27252091458406,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.00137418971156705
"28466",0,593418943,2001,0,3,26558.6708203531,0,0.485282853888234,0,0,0.626410132189079,-3.61278377733901,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.000626410132189079
"28467",1,593418943,2003,0,5,154645,0,0.643626675090637,0,0.139300397928535,0.0514728366119662,-0.272383378813548,0,"Other",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,5.14728366119662e-05
"28468",0,593419131,1999,0,1,65103.8674033149,0,0.816936034386482,0,0,151074,0.137524067630455,0,"Edu(Exclu Higher)",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,151.074
"28469",1,593419131,2000,0,2,113914.52991453,0,0.836540932727758,0,0,36.9538932015996,0.0165808868574608,0,"Edu(Exclu Higher)",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,0.0369538932015996
"28474",0,593420727,1998,1,0,47870.2031602709,41.0282167042889,0.998303848191307,0,0.192971563392524,36351,0.379844050940117,0,"Health",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,36.351
"28475",1,593420727,1999,1,1,195118.232044199,108.142541436464,0.981186377729154,0,0.0814685851810129,31.265274151436,0.379844050940117,0,"Health",0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,4,8,16,32,0.031265274151436
"28476",0,593421808,1998,0,0,92520.316027088,-4.3431151241535,0.680034584096395,0,0.00734058747251508,0.399250819416263,-0.0818689259162363,0,"Other",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.000399250819416263
"28477",0,593421808,1999,0,1,8751.38121546961,-1.98232044198895,0.618137549349119,0,0.00295359034431206,0.786105815061964,-6.76835413597953,0,"Other",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.000786105815061964
"28478",0,593421808,2000,0,2,87922.0085470085,-6.08760683760684,0.689892337512694,0,0,0.618566361020012,-0.22583209941254,0,"Other",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.000618566361020012
"28479",0,593421808,2001,0,3,88469.3665628245,-4.9055036344756,0.576039212727958,0,0.0139620232966332,0.71708280941261,-0.324061281386286,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,0.00071708280941261
"28480",0,593421808,2003,0,5,76448,-7.538,0.478252265935182,0,0.0178096405999434,0.614688745783502,-0.386676084710068,0,"Other",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,0.000614688745783502
"28481",0,593421903,1998,0,0,42159.1422121896,0,1,0,0,0.322117779918291,-0.774888963359796,0,"Arts",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.000322117779918291
"28482",1,593421903,1999,0,1,102366.850828729,0,1,0,0,0.0304669580646557,-0.0215137359952174,0,"Arts",0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,4,8,16,32,3.04669580646557e-05
"28486",0,593422771,2000,0,2,22983.9743589744,0,0.537901073865717,0,0,37837,-0.0816709689942369,0,"Human Svcs",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,37.837
"28487",0,593422771,2001,0,3,34084.1121495327,0,0.67725395037583,0,0,40322,-0.235438877383575,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,40.322
