"","prof","ein","fisyr","Accrual","age","FS_Totrev_adj","UNAgrand","HHI","GovtMoneyRat","FixedCostRat","EqRat_w","SurplusRat_ndrop_w892","ProfFundFeeYes","Subsector2","FY1998","FY1999","FY2000","FY2001","FY2002","FY2003","JustNowProfessionalized","waffle","D1","D2","D3","D4","D5","D6","AGE","Age2","Age3","Age4","Age5","EqRat_w_K"
"463",1,30350060,2000,1,2,136144.230769231,0,0.998619814176178,0.999309430201442,0.00210725381602053,3.62110986126734,0.12859363605682,0,"Human Svcs",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,0.00362110986126734
"468",0,30352734,1999,1,1,55620.9944751381,0,1,0,0,3.39040848294975,-0.377053733165892,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0.00339040848294975
"469",1,30352734,2000,1,2,121621.794871795,0,0.50754914165717,0,0.0411662129219381,2.95324366364718,0.0126576727667236,0,"Public",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,0.00295324366364718
"476",0,30353321,1998,1,0,23732.5056433409,0,1,0,0,0,-1.63126783167837,0,"Human Svcs",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0
"477",0,30353321,1999,1,1,18445.3038674033,0,0.962625995155773,0,0,0.405714285714286,-1.82929608141414,0,"Human Svcs",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.000405714285714286
"478",0,30353321,2000,1,2,18685.8974358974,0,1,0,0,0.168,-1.80248009597657,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.000168
"479",0,30353321,2003,0,5,13474,0,1,0,0,4235,-1.33187384044527,0,"Human Svcs",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,4.235
"486",0,30354382,1999,0,1,2146.96132596685,0,0.941884477327942,0,0,7792,-6.76835413597953,0,"Health",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,7.792
"487",0,30354382,2000,0,2,97535.2564102564,0,1,0,0,3.75942028985507,-0.0548674339114921,0,"Health",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,0.00375942028985507
"488",0,30354494,2001,1,3,82089.3042575286,58.478712357217,0.359752540355323,0.347872286596165,0.23154062779037,12.6495655771618,0.379844050940117,0,"Public",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,0.0126495655771618
"489",0,30354494,2002,1,4,28610.4294478528,0,1,0,0,4.4812438302073,-1.76753130175429,0,"Public",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,0.00448124383020731
"490",0,30354494,2003,1,5,86819,43.237,0.335021741588361,0.412121770580173,0.149678744397108,4.31538992408558,0.169995392766644,0,"Public",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,0.00431538992408558
"500",0,30354963,1999,0,1,0,0,0,0,0,39982,-6.76835413597953,0,"Arts",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,39.982
"501",1,30354963,2000,0,2,213605.769230769,0,0.855373846076087,0.050016255282967,0,213507,0.379844050940117,0,"Arts",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,213.507
"507",0,30355302,2002,0,4,26513.2924335378,0,1,0,0,14.1633901266929,-1.12151658915449,0,"Arts",0,0,0,0,1,0,NA,0,0,0,0,0,1,0,5,25,125,625,3125,0.0141633901266929
"514",0,30355388,2003,1,5,0,0,0,0,0,23360,-6.76835413597953,0,"Human Svcs",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,23.36
"515",0,30355439,1998,0,0,38939.0519187359,0,0.870145749063206,0,0,1224,-0.375674816003276,0,"Edu(Exclu Higher)",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,1.224
"516",0,30355439,1999,0,1,54091.7127071823,0,0.870106095631868,0,0,193,-0.0237998378270334,0,"Edu(Exclu Higher)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,0.193
"517",0,30355439,2000,0,2,59320.5128205128,0,0.883451003541526,0,0,9447,0.166680714409108,0,"Edu(Exclu Higher)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,9.447
"518",0,30355439,2001,0,3,67285.5659397715,0,0.899678378600016,0,0,18900,0.145777866163264,0,"Edu(Exclu Higher)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,18.9
"519",0,30355439,2002,0,4,44823.1083844581,0,0.88644637385999,0,0,15537,-0.0831475849547622,0,"Edu(Exclu Higher)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,15.537
"520",0,30355439,2003,0,5,44543,0,0.818539711674533,0,0,17933,0.0537670617816092,0,"Edu(Exclu Higher)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,36,216,1296,7776,17.933
"521",0,30355660,1999,0,1,56132.5966850829,0,1,0,0,0,0.379844050940117,0,"Public",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0
"522",1,30355660,2000,0,2,173679.487179487,0,1,1,0.016808720878006,0.743565070964638,-0.164131728874178,0,"Public",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,0.000743565070964638
"523",0,30355867,1999,0,1,20380.1104972376,0,0.527252592865702,0,0,0,-1.0129678087255,0,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,0
"524",0,30355867,2000,0,2,76461.5384615385,0,0.774914523344953,0,0,25143,0.319299646986508,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,25.143
"525",0,30355867,2001,0,3,57608.5150571132,0,0.699289085012616,0,0,11422,-0.247306069979534,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,11.422
"526",0,30355867,2002,0,4,33314.9284253579,0,1,0,0,10845,-0.0176786173443079,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,10.845
